review_id,review,sentiment
1,This PRODUCT is AMAZING!!!,positive
2,I really don't like this product.,negative
3,Visit https://example.com for more info,neutral
4,The phone costs Rs. 50000!!!,neutral
5,WOW!!! What an AMAZING phone 😍😍,positive
6,Terrible service... never buying again!!!,negative
7,   The product is good     ,positive
8,I LOVE this product!!! #BestProduct,positive
9,Not good at all... very disappointing,negative
10,The delivery was FAST!!! @company,positive
11,This laptop works perfectly and I am very happy with it.,positive
12,The quality is awful!!! I regret buying this.,negative
13,Check our website at https://shop.example.com today!,neutral
14,I bought it for Rs. 25000 and it arrived yesterday.,neutral
15,Excellent quality!!! I would definitely recommend it.,positive
16,Worst purchase ever... completely useless.,negative
17,"The packaging was nice, but the product was damaged.",negative
18,Great value for money!!! 👍,positive
19,I don't think this is worth the price.,negative
20,The order was delivered on time.,neutral
21,The PRODUCT is REALLY GOOD!!!,positive
22,I absolutely LOVE this item 😍,positive
23,Amazing quality and FAST delivery!!!,positive
24,This is the WORST product ever!!!,negative
25,Very poor quality... I am disappointed.,negative
26,I don't recommend this product at all.,negative
27,Visit https://example.com for product details.,neutral
28,The product costs Rs. 15000 today.,neutral
29,Order number #45892 was delivered yesterday.,neutral
30,"The service was okay, nothing special.",neutral
31,The PRODUCT is REALLY GOOD!!!,positive
32,I absolutely LOVE this item 😍,positive
33,Amazing quality and FAST delivery!!!,positive
34,This is the WORST product ever!!!,negative
35,Very poor quality... I am disappointed.,negative
36,I don't recommend this product at all.,negative
37,Visit https://example.com for product details.,neutral
38,The product costs Rs. 15000 today.,neutral
39,Order number #45892 was delivered yesterday.,neutral
40,"The service was okay, nothing special.",neutral
41,The PRODUCT is REALLY GOOD!!!,positive
42,I absolutely LOVE this item 😍,positive
43,Amazing quality and FAST delivery!!!,positive
44,This is the WORST product ever!!!,negative
45,Very poor quality... I am disappointed.,negative
46,I don't recommend this product at all.,negative
47,Visit https://example.com for product details.,neutral
48,The product costs Rs. 15000 today.,neutral
49,Order number #45892 was delivered yesterday.,neutral
50,"The service was okay, nothing special.",neutral
