review_id,review,sentiment,clean_text,word_count_before,word_count_after
1,This PRODUCT is AMAZING!!!,positive,product amazing,4,2
2,I really don't like this product.,negative,really like product,6,3
3,Visit https://example.com for more info,neutral,visit info,5,2
4,The phone costs Rs. 50000!!!,neutral,phone costs rs 50000,5,4
5,WOW!!! What an AMAZING phone 😍😍,positive,wow amazing phone 😍😍,6,4
6,Terrible service... never buying again!!!,negative,terrible service never buying,5,4
7,   The product is good     ,positive,product good,4,2
8,I LOVE this product!!! #BestProduct,positive,love product bestproduct,5,3
9,Not good at all... very disappointing,negative,good disappointing,6,2
10,The delivery was FAST!!! @company,positive,delivery fast company,5,3
11,This laptop works perfectly and I am very happy with it.,positive,laptop works perfectly happy,11,4
12,The quality is awful!!! I regret buying this.,negative,quality awful regret buying,8,4
13,Check our website at https://shop.example.com today!,neutral,check website today,6,3
14,I bought it for Rs. 25000 and it arrived yesterday.,neutral,bought rs 25000 arrived yesterday,10,5
15,Excellent quality!!! I would definitely recommend it.,positive,excellent quality would definitely recommend,7,5
16,Worst purchase ever... completely useless.,negative,worst purchase ever completely useless,5,5
17,"The packaging was nice, but the product was damaged.",negative,packaging nice product damaged,9,4
18,Great value for money!!! 👍,positive,great value money 👍,5,4
19,I don't think this is worth the price.,negative,think worth price,8,3
20,The order was delivered on time.,neutral,order delivered time,6,3
21,The PRODUCT is REALLY GOOD!!!,positive,product really good,5,3
22,I absolutely LOVE this item 😍,positive,absolutely love item 😍,6,4
23,Amazing quality and FAST delivery!!!,positive,amazing quality fast delivery,5,4
24,This is the WORST product ever!!!,negative,worst product ever,6,3
25,Very poor quality... I am disappointed.,negative,poor quality disappointed,6,3
26,I don't recommend this product at all.,negative,recommend product,7,2
27,Visit https://example.com for product details.,neutral,visit product details,5,3
28,The product costs Rs. 15000 today.,neutral,product costs rs 15000 today,6,5
29,Order number #45892 was delivered yesterday.,neutral,order number 45892 delivered yesterday,6,5
30,"The service was okay, nothing special.",neutral,service okay nothing special,6,4
31,The PRODUCT is REALLY GOOD!!!,positive,product really good,5,3
32,I absolutely LOVE this item 😍,positive,absolutely love item 😍,6,4
33,Amazing quality and FAST delivery!!!,positive,amazing quality fast delivery,5,4
34,This is the WORST product ever!!!,negative,worst product ever,6,3
35,Very poor quality... I am disappointed.,negative,poor quality disappointed,6,3
36,I don't recommend this product at all.,negative,recommend product,7,2
37,Visit https://example.com for product details.,neutral,visit product details,5,3
38,The product costs Rs. 15000 today.,neutral,product costs rs 15000 today,6,5
39,Order number #45892 was delivered yesterday.,neutral,order number 45892 delivered yesterday,6,5
40,"The service was okay, nothing special.",neutral,service okay nothing special,6,4
41,The PRODUCT is REALLY GOOD!!!,positive,product really good,5,3
42,I absolutely LOVE this item 😍,positive,absolutely love item 😍,6,4
43,Amazing quality and FAST delivery!!!,positive,amazing quality fast delivery,5,4
44,This is the WORST product ever!!!,negative,worst product ever,6,3
45,Very poor quality... I am disappointed.,negative,poor quality disappointed,6,3
46,I don't recommend this product at all.,negative,recommend product,7,2
47,Visit https://example.com for product details.,neutral,visit product details,5,3
48,The product costs Rs. 15000 today.,neutral,product costs rs 15000 today,6,5
49,Order number #45892 was delivered yesterday.,neutral,order number 45892 delivered yesterday,6,5
50,"The service was okay, nothing special.",neutral,service okay nothing special,6,4
